J,22,25
K,22,27
F,22,29
D,22,31

F,23,1
D,23,3
J,23,5
K,23,7
J,23,9
K,23,11
F,23,13
D,23,15
J,23,17
K,23,19
J,23,21
K,23,23
F,23,25
D,23,27
J,23,29
K,23,31

L,24,1
K,24,3
F,24,5
D,24,7
J,24,9
K,24,11
L,24,13
K,24,15
J,24,17
F,24,19
D,24,21
S,24,23
D,24,25
F,24,27
J,24,29
K,24,31

J,25,1
K,25,3
J,25,5
F,25,7
D,25,9
S,25,11
D,25,13
F,25,15
J,25,17
F,25,19
D,25,21
S,25,23
D,25,25
F,25,27
J,25,29
K,25,31

L,26,1
K,26,3
J,26,5
F,26,7
D,26,9
S,26,11
D,26,13
F,26,15
J,26,17
F,26,19
D,26,21
F,26,23
J,26,25
F,26,27
D,26,29
S,26,31

D,27,1
F,27,3
J,27,5
K,27,7
L,27,9
K,27,11
D,27,13
F,27,15
J,27,17
K,27,19
L,27,21
K,27,23
J,27,25
F,27,27
J,27,29
F,27,31

D,28,1
F,28,3
J,28,5
K,28,7
L,28,9
;,28,11
L,28,13
K,28,15
L,28,17
;,28,19
L,28,21
;,28,23
L,28,25
K,28,27
J,28,29
F,28,31

K,29,1
D,29,1
J,29,5
F,29,7
D,29,9
K,29,9
J,29,13
F,29,15
D,29,17
K,29,17
J,29,21
F,29,23
D,29,25
K,29,25
J,29,29
F,29,31

D,30,1
K,30,1
S,30,5
D,30,7
J,30,9
K,30,9
S,30,13
D,30,15
J,30,17
K,30,17
S,30,21
D,30,23
J,30,25
K,30,25
S,30,29
D,30,31

L,31,1
K,31,1
J,31,5
D,31,7
L,31,9
K,31,9
J,31,13
D,31,15
L,31,17
K,31,17
J,31,21
D,31,23
L,31,25
K,31,25
J,31,29
D,31,31

K,32,1
F,32,1
J,32,5
S,32,7
F,32,9
K,32,9
J,32,13
S,32,15
F,32,17
K,32,17
J,32,21
S,32,23
F,32,25
K,32,25
J,32,29
S,32,31

D,33,1
F,33,1
J,33,5
S,33,7
D,33,9
F,33,9
J,33,13
S,33,15
D,33,17
F,33,17
J,33,21
S,33,23
D,33,25
F,33,25
J,33,29
S,33,31

D,34,1
K,34,1
S,34,5
D,34,7
J,34,9
K,34,9
S,34,13
D,34,15
J,34,17
K,34,17
S,34,21
D,34,23
J,34,25
K,34,25
S,34,29
D,34,31

L,35,1
K,35,1
J,35,5
D,35,7
L,35,9
K,35,9
J,35,13
D,35,15
L,35,17
K,35,17
J,35,21
D,35,23
L,35,25
K,35,25
J,35,29
D,35,31

K,36,1
F,36,1
J,36,5
S,36,7
F,36,9
K,36,9
J,36,13
S,36,15
F,36,17
K,36,17
J,36,21
S,36,23
F,36,25
K,36,25
J,36,29
S,36,31

D,37,1
F,37,1
J,37,5
S,37,7
D,37,9
F,37,9
J,37,13
S,37,15
D,37,17
F,37,17
J,37,21
S,37,23
D,37,25
F,37,25
J,37,29
S,37,31

D,38,1
F,38,1
F,38,5
J,38,5
J,38,9
K,38,9
F,38,13
J,38,13
D,38,17
F,38,17
F,38,21
J,38,21
J,38,25
K,38,25
F,38,29
J,38,29

L,39,1
S,39,3
K,39,5
D,39,7
J,39,9
F,39,11
L,39,13
S,39,15
K,39,17
D,39,19
J,39,21
F,39,23
;,39,25
A,39,27
;,39,29
A,39,31

L,40,1
S,40,3
K,40,5
D,40,7
J,40,9
F,40,11
L,40,13
S,40,15
K,40,17
D,40,19
J,40,21
F,40,23
;,40,25
A,40,27
;,40,29
A,40,31

S,41,1
K,41,3
D,41,5
J,41,7
A,41,9
L,41,11
D,41,13
;,41,15
S,41,17
K,41,19
D,41,21
J,41,23
A,41,25
L,41,27
D,41,29
;,41,31

S,42,1
K,42,3
D,42,5
J,42,7
A,42,9
L,42,11
D,42,13
;,42,15
S,42,17
K,42,19
D,42,21
J,42,23
A,42,25
L,42,27
D,42,29
;,42,31

F,43,1
J,43,3
D,43,5
K,43,7
F,43,9
J,43,11
D,43,13
K,43,15
S,43,17
L,43,19
A,43,21
;,43,23
S,43,25
L,43,27
A,43,29
;,43,31

F,44,1
J,44,3
D,44,5
K,44,7
F,44,9
J,44,11
D,44,13
K,44,15
S,44,17
L,44,19
A,44,21
;,44,23
S,44,25
L,44,27
A,44,29
;,44,31

D,45,1
F,45,3
K,45,5
J,45,7
F,45,9
D,45,11
J,45,13
K,45,15
D,45,17
F,45,19
K,45,21
J,45,23
F,45,25
D,45,27
J,45,29
K,45,31

S,46,1
D,46,3
L,46,5
K,46,7
D,46,9
S,46,11
K,46,13
L,46,15
S,46,17
D,46,19
L,46,21
K,46,23
D,46,25
S,46,27
K,46,29
L,46,31

F,47,1
J,47,3
D,47,5
K,47,7
F,47,9
J,47,11
D,47,13
K,47,15
F,47,17
J,47,19
D,47,21
K,47,23
F,47,25
J,47,27
D,47,29
K,47,31

D,48,1
F,48,1
J,48,3
K,48,3
D,48,5
F,48,5
J,48,7
K,48,7
D,48,9
F,48,9
J,48,11
K,48,11
D,48,13
F,48,13
J,48,15
K,48,15
A,48,17
S,48,17
A,48,21
S,48,21
A,48,25
S,48,25
A,48,29
S,48,29

A,49,1
S,49,5
D,49,9
F,49,13
D,49,17
F,49,21
J,49,25
K,49,29

J,50,1
K,50,5
L,50,9
;,50,13
L,50,17
K,50,17
J,50,25
F,50,25

D,51,1
S,51,1
J,51,17
K,51,17

L,52,9
K,52,9
F,52,13
K,52,17
J,52,17
D,52,21
J,52,25
F,52,25
S,52,29

D,53,1
F,53,1

S,54,9
J,54,9
L,54,9
D,54,17
J,54,17
K,54,17
S,54,25
;,54,25
L,54,25

D,55,1
F,55,1
J,55,1
K,55,1

;,56,9
L,56,9
D,56,17
J,56,17
K,56,17
S,56,25
A,56,25

D,57,1
F,57,1
J,57,1
K,57,1
D,57,5
F,57,9
J,57,13
K,57,17
J,57,25

F,58,1

A,59,1
S,59,5
D,59,9
F,59,13
D,59,17
F,59,21
J,59,25
K,59,29

J,60,1
K,60,5
L,60,9
;,60,13
;,60,17
L,60,21
K,60,25
J,60,29

A,61,1
S,61,5
D,61,9
F,61,13
J,61,17
K,61,21
L,61,25
;,61,29

A,62,1
S,62,5
D,62,9
F,62,13
J,62,17
K,62,21
L,62,25
;,62,29

A,63,1
S,63,5
D,63,9
F,63,13
D,63,17
F,63,21
J,63,25
K,63,29

J,64,1
K,64,5
L,64,9
;,64,13
;,64,17
L,64,21
K,64,25
J,64,29

A,65,1
S,65,5
D,65,9
F,65,13
J,65,17
K,65,21
L,65,25
;,65,29

L,66,1
K,66,5
J,66,9
F,66,13
D,66,17
S,66,21
A,66,25
S,66,29

D,67,1
F,67,5
J,67,9
K,67,13
L,67,17
K,67,21
J,67,25
F,67,29

D,68,1
S,68,5
A,68,9
S,68,13
D,68,17
F,68,19
D,68,21
F,68,23
D,68,25
D,68,29

L,69,1
K,69,1
F,69,5
J,69,7
S,69,9
D,69,9
J,69,13
F,69,15
L,69,17
K,69,17
F,69,21
J,69,23
S,69,25
D,69,25
J,69,29
F,69,31

L,70,1
K,70,1
F,70,5
J,70,7
S,70,9
D,70,9
J,70,13
F,70,15
L,70,17
K,70,17
F,70,21
J,70,23
D,70,25
K,70,27
S,70,29
L,70,31

F,71,1
J,71,1
K,71,5
D,71,7
F,71,9
J,71,9
K,71,13
D,71,15
F,71,17
J,71,17
K,71,21
D,71,23
F,71,25
J,71,25
K,71,29
D,71,31

F,72,1
J,72,1
K,72,5
D,72,7
F,72,9
J,72,9
K,72,13
D,72,15
F,72,17
J,72,17
K,72,21
D,72,23
J,72,25
K,72,27
F,72,29
J,72,31

K,73,1
D,73,1
J,73,5
F,73,7
D,73,9
K,73,9
J,73,13
F,73,15
D,73,17
K,73,17
J,73,21
F,73,23
D,73,25
F,73,27
D,73,29
F,73,31

D,74,1
K,74,1
S,74,5
D,74,7
J,74,9
K,74,9
S,74,13
D,74,15
J,74,17
K,74,17
S,74,21
D,74,23
J,74,25
K,74,27
D,74,29
S,74,31

L,75,1
K,75,1
J,75,5
D,75,7
L,75,9
K,75,9
J,75,13
D,75,15
L,75,17
K,75,19
J,75,21
F,75,23
L,75,25
K,75,27
L,75,29
;,75,31

K,76,1
F,76,1
J,76,5
S,76,7
F,76,9
K,76,9
J,76,13
S,76,15
D,76,17
F,76,19
J,76,21
K,76,23
J,76,25
F,76,27
D,76,29
F,76,31

K,77,1
D,77,3
J,77,5
F,77,7
L,77,9
S,77,11
J,77,13
F,77,15
K,77,17
D,77,19
K,77,21
D,77,23
L,77,25
S,77,27
L,77,29
S,77,31

K,78,1
J,78,3
F,78,5
D,78,7
K,78,9
J,78,11
F,78,13
D,78,15
L,78,17
K,78,17
F,78,21
J,78,21
D,78,25
S,78,25
A,78,29

J,79,1
S,79,1
J,79,5
K,79,9
L,79,13
;,79,17
L,79,21
K,79,25
L,79,29

K,80,5
J,80,9
F,80,13
D,80,17
F,80,21
J,80,25
F,80,29

J,81,1
S,81,1
J,81,5
K,81,9
L,81,13
;,81,17
L,81,21
K,81,25
L,81,29

A,82,1
D,82,1
J,82,1
K,82,5
J,82,9
F,82,13
D,82,17
F,82,21
J,82,25
F,82,29

J,83,1
S,83,1
J,83,5
K,83,9
L,83,13
;,83,17
L,83,21
K,83,25
L,83,29

L,84,1
J,84,1
;,84,1
K,84,5
J,84,9
F,84,13
D,84,17
K,84,17
F,84,21
J,84,25
F,84,29

J,85,1
S,85,1
J,85,5
K,85,9
L,85,13
;,85,17
L,85,21
K,85,25
L,85,29

A,86,1
S,86,1
D,86,1
K,86,5
J,86,9
F,86,13
D,86,17
F,86,21
J,86,25
F,86,29
